#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
1,00000013 2fa7d400,"     MOV R1, c[0x0][0x28] ",1,94,94,4096,131072,,,,,,,0,0,0,12,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,82,0,0,0,0,0,0
2,00000013 2fa7d410,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",1,0,0,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00000013 2fa7d420,"     S2R R0, SR_CTAID.X ",2,0,0,4096,131072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00000013 2fa7d430,"     ISETP.GE.AND P0, PT, R0, c[0x0][0x194], PT ",2,60,60,4096,131072,,,,,,,0,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,1
5,00000013 2fa7d440,@P0  EXIT ,2,2,2,4096,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,00000013 2fa7d450,"     S2R R7, SR_CTAID.Y ",3,3,1,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,00000013 2fa7d460,"     MOV R4, RZ ",4,0,0,4096,131072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00000013 2fa7d470,"     MOV R3, RZ ",5,1,0,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,00000013 2fa7d480,"     S2R R5, SR_TID.X ",6,0,0,4096,131072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,00000013 2fa7d490,"     ISETP.GE.AND P0, PT, R7, c[0x0][0x190], PT ",6,5,4,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
