#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,Memory L2 Transactions Local,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
1,00000013 2fa93800,"     IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28] ",,18,18,12800,409600,,,,,,,,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0
2,00000013 2fa93810,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",,0,0,12800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00000013 2fa93820,"     S2R R5, SR_CTAID.Y ",,1,0,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,00000013 2fa93830,"     IADD3 R1, R1, -0x800, RZ ",,0,0,12800,409600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00000013 2fa93840,"     S2R R31, SR_CTAID.X ",,5,0,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,00000013 2fa93850,"     S2R R2, SR_CTAID.Z ",,2,1,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,00000013 2fa93860,"     ISETP.GE.AND P0, PT, R5, c[0x0][0x188], PT ",,32,31,12800,409600,,,,,,,,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0
8,00000013 2fa93870,"     IMAD.SHL.U32 R31, R31, 0x10, RZ ",,2,2,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,00000013 2fa93880,"     ISETP.GE.OR P0, PT, R2, c[0x0][0x194], P0 ",,3,1,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,00000013 2fa93890,"     ISETP.GE.OR P0, PT, R31, c[0x0][0x18c], P0 ",,2,1,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,00000013 2fa938a0,@P0  EXIT ,,7,5,12800,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
12,00000013 2fa938b0,"     IMAD.MOV.U32 R32, RZ, RZ, c[0x0][0x0] ",,0,0,12800,409600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,00000013 2fa938c0,"     ISETP.GT.U32.AND P0, PT, R32, 0x11f, PT ",,2,0,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,00000013 2fa938d0,"     SHF.R.U32.HI R32, RZ, 0x5, R32 ",,1,0,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,00000013 2fa938e0,"     ISETP.EQ.OR P0, PT, R32, RZ, P0 ",,4,2,12800,409600,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,00000013 2fa938f0,@P0  EXIT ,,4,2,12800,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,00000013 2fa93900,"     IMAD.MOV.U32 R9, RZ, RZ, c[0x0][0x190] ",,3,3,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
